index,Diện tích,Dài,Rộng,Giá/m2,Ngày
6176.0,32 m²,9 m,3.6 m,"45,31 triệu/m²",2020_08_04
6177.0,30 m²,9.8 m,3.2 m,"76,67 triệu/m²",2020_08_04
6183.0,54 m²,17 m,3.7 m,"115,85 triệu/m²",2020_08_04
6184.0,31 m²,9 m,3.5 m,"57,1 triệu/m²",2020_08_04
6187.0,25 m²,6 m,4 m,88 triệu/m²,2020_08_04
6198.0,40 m²,10 m,4 m,107.500 đ/m²,2020_08_04
6203.0,240 m²,20 m,12 m,150.000 đ/m²,2020_08_04
6207.0,48 m²,8 m,6 m,"68,75 triệu/m²",2020_08_04
6208.0,75 m²,15 m,5 m,"78,67 triệu/m²",2020_08_04
6209.0,66 m²,16.5 m,4 m,"295,45 triệu/m²",2020_08_04
6215.0,38 m²,10 m,3.8 m,"92,11 triệu/m²",2020_08_04
6217.0,46 m²,9 m,4.8 m,"89,13 triệu/m²",2020_08_04
6222.0,808 m²,15 m,15 m,"148,51 triệu/m²",2020_08_04
6225.0,32 m²,8 m,4 m,"62,5 triệu/m²",2020_08_04
6233.0,33 m²,8 m,4 m,"69,7 triệu/m²",2020_08_04
6239.0,45 m²,9 m,6 m,"95,56 triệu/m²",2020_08_04
6246.0,30 m²,9 m,35 m,"253,33 triệu/m²",2020_08_04
6253.0,32 m²,10.1 m,3 m,"92,19 triệu/m²",2020_08_04
6256.0,45 m²,5.7 m,8 m,"64,44 triệu/m²",2020_08_04
6257.0,35 m²,10 m,3.5 m,"82,86 triệu/m²",2020_08_04
6262.0,120 m²,12 m,10 m,"266,67 triệu/m²",2020_08_04
6267.0,30 m²,8 m,4 m,"73,33 triệu/m²",2020_08_04
6270.0,53 m²,16 m,3.6 m,"118,11 triệu/m²",2020_08_04
6274.0,33 m²,8 m,4 m,"87,88 triệu/m²",2020_08_04
6276.0,32 m²,8 m,4 m,"81,25 triệu/m²",2020_08_04
6279.0,40 m²,12 m,3.5 m,85 triệu/m²,2020_08_04
6282.0,71 m²,10 m,76 m,"83,8 triệu/m²",2020_08_04
6285.0,32 m²,7.3 m,4.4 m,"92,19 triệu/m²",2020_08_04
6287.0,130 m²,13 m,10 m,"238,46 triệu/m²",2020_08_04
6291.0,38 m²,9 m,4 m,"72,37 triệu/m²",2020_08_04
6292.0,52 m²,15 m,3.5 m,"120,19 triệu/m²",2020_08_04
6294.0,43 m²,11 m,4 m,"93,02 triệu/m²",2020_08_04
6297.0,35 m²,8.2 m,4 m,"61,43 triệu/m²",2020_08_04
6298.0,43 m²,13.8 m,3.1 m,"68,6 triệu/m²",2020_08_04
6304.0,51 m²,10 m,5 m,"211,76 triệu/m²",2020_08_04
6305.0,35 m²,6 m,6 m,"114,29 triệu/m²",2020_08_04
6306.0,39.4 m²,13.2 m,3 m,"89,74 triệu/m²",2020_08_04
6315.0,35 m²,8.75 m,4 m,"68,57 triệu/m²",2020_08_04
6317.0,46 m²,8 m,5.5 m,"51,74 triệu/m²",2020_08_04
6320.0,32 m²,8 m,4 m,"61,88 triệu/m²",2020_08_04
6325.0,33 m²,10 m,3.5 m,"60,61 triệu/m²",2020_08_04
6330.0,42 m²,10 m,4.2 m,80.952 đ/m²,2020_08_04
6333.0,40 m²,10 m,4 m,"92,5 triệu/m²",2020_08_04
6336.0,45 m²,11 m,3.8 m,"188,89 triệu/m²",2020_08_04
6338.0,36 m²,9 m,4 m,200 triệu/m²,2020_08_04
6344.0,31.5 m²,9 m,4 m,"46,77 triệu/m²",2020_08_04
6345.0,83 m²,12 m,7 m,"151,81 triệu/m²",2020_08_04
6356.0,32 m²,8 m,4.2 m,104.687 đ/m²,2020_08_04
6357.0,88 m²,15 m,6 m,"215,91 triệu/m²",2020_08_04
6358.0,45 m²,12 m,3.5 m,"61,11 triệu/m²",2020_08_04
6363.0,34.5 m²,5 m,6.5 m,"72,06 triệu/m²",2020_08_04
6369.0,23 m²,7.5 m,3 m,"121,74 triệu/m²",2020_08_04
6371.0,70 m²,17 m,4.1 m,"471,43 triệu/m²",2020_08_04
6373.0,44 m²,10 m,4 m,"59,09 triệu/m²",2020_08_04
6379.0,31 m²,7 m,4.4 m,"79,03 triệu/m²",2020_08_04
6380.0,33 m²,9 m,3.6 m,"42,42 triệu/m²",2020_08_04
6382.0,31 m²,10 m,3.5 m,"61,29 triệu/m²",2020_08_04
6383.0,35 m²,9 m,4 m,"79,14 triệu/m²",2020_08_04
6394.0,137 m²,13.7 m,10 m,"277,37 triệu/m²",2020_08_04
6395.0,40 m²,10 m,4 m,"77,5 triệu/m²",2020_08_04
6398.0,30 m²,8 m,39 m,105 triệu/m²,2020_08_04
6401.0,43 m²,11 m,39 m,"91,86 triệu/m²",2020_08_04
6404.0,45 m²,11.2 m,4 m,"88,89 triệu/m²",2020_08_04
6407.0,32 m²,8 m,4 m,"62,5 triệu/m²",2020_08_04
6419.0,33 m²,9 m,3.5 m,"45,45 triệu/m²",2020_08_04
6421.0,76 m²,18 m,4.2 m,"77,63 triệu/m²",2020_08_04
6422.0,33 m²,11 m,3 m,"69,7 triệu/m²",2020_08_04
6431.0,27 m²,7 m,4 m,"122,22 triệu/m²",2020_08_04
6440.0,32 m²,8 m,4 m,"78,13 triệu/m²",2020_08_04
6445.0,32 m²,6 m,5.3 m,"103,13 triệu/m²",2020_08_04
6451.0,52 m²,7 m,7.4 m,"76,92 triệu/m²",2020_08_04
6452.0,40 m²,8 m,5 m,55 triệu/m²,2020_08_04
6454.0,33 m²,8.5 m,3.8 m,"66,06 triệu/m²",2020_08_04
6467.0,35 m²,7.8 m,5 m,60 triệu/m²,2020_08_04
6472.0,53 m²,15.1 m,3.5 m,"109,43 triệu/m²",2020_08_04
6473.0,71 m²,25 m,4.2 m,"242,25 triệu/m²",2020_08_04
6476.0,33 m²,9 m,3.5 m,"93,94 triệu/m²",2020_08_04
6489.0,36 m²,10 m,3.6 m,"44,17 triệu/m²",2020_08_04
6490.0,33 m²,6.09 m,5.85 m,"66,06 triệu/m²",2020_08_04
6502.0,98 m²,14.5 m,6.8 m,"77,55 triệu/m²",2020_08_04
6503.0,36 m²,9 m,4 m,"133,33 triệu/m²",2020_08_04
6512.0,30 m²,7.5 m,4 m,"53,33 triệu/m²",2020_08_04
6518.0,34.6 m²,10.4 m,3.26 m,"55,88 triệu/m²",2020_08_04
6519.0,38 m²,10.5 m,3.5 m,"57,89 triệu/m²",2020_08_04
6520.0,32 m²,6.5 m,5 m,"76,56 triệu/m²",2020_08_04
6532.0,50 m²,12.5 m,4 m,81 triệu/m²,2020_08_04
6542.0,46 m²,12 m,4.2 m,"71,74 triệu/m²",2020_08_04
6546.0,45 m²,11.25 m,4 m,"98,89 triệu/m²",2020_08_04
6551.0,30 m²,7 m,4 m,"52,67 triệu/m²",2020_08_04
6569.0,46 m²,15 m,4 m,"69,57 triệu/m²",2020_08_04
6570.0,75 m²,15 m,5 m,"79,73 triệu/m²",2020_08_04
6583.0,45 m²,13.5 m,3.6 m,"75,56 triệu/m²",2020_08_04
6587.0,17 m²,5 m,3 m,"76,47 triệu/m²",2020_08_04
6591.0,36 m²,8.8 m,4.2 m,"83,06 triệu/m²",2020_08_04
6592.0,49 m²,9 m,5.3 m,"61,22 triệu/m²",2020_08_04
6593.0,50 m²,9 m,4.5 m,"179,6 triệu/m²",2020_08_04
6604.0,36 m²,8.5 m,4.2 m,"83,06 triệu/m²",2020_08_04
6605.0,54 m²,11 m,4.5 m,"87,96 triệu/m²",2020_08_04
6613.0,120 m²,30 m,4 m,"204,17 triệu/m²",2020_08_04
6614.0,35 m²,10 m,3.5 m,"79,14 triệu/m²",2020_08_04
6615.0,100 m²,20 m,5 m,215 triệu/m²,2020_08_04
6618.0,52 m²,10 m,5 m,"34,62 triệu/m²",2020_08_04
6623.0,46 m²,12 m,4 m,"47,83 triệu/m²",2020_08_04
6625.0,51 m²,10 m,5 m,"84,31 triệu/m²",2020_08_04
6634.0,35 m²,12 m,3.1 m,"82,86 triệu/m²",2020_08_04
6639.0,50 m²,12.5 m,4 m,130 triệu/m²,2020_08_04
6659.0,70 m²,17 m,4 m,"102,86 triệu/m²",2020_08_04
6670.0,58 m²,15 m,4 m,"237,93 triệu/m²",2020_08_04
6671.0,40 m²,40 m,40 m,"73,75 triệu/m²",2020_08_04
6673.0,143 m²,20 m,6 m,"251,05 triệu/m²",2020_08_04
6679.0,46 m²,11.5 m,4.1 m,"206,52 triệu/m²",2020_08_04
6683.0,40 m²,10 m,4 m,"73,75 triệu/m²",2020_08_04
6691.0,58 m²,14 m,4.15 m,"89,66 triệu/m²",2020_08_04
6707.0,78 m²,10 m,7.8 m,"115,37 triệu/m²",2020_08_04
6711.0,35 m²,10 m,36 m,"114,29 triệu/m²",2020_08_04
6751.0,45 m²,12 m,4 m,"144,44 triệu/m²",2020_08_04
6774.0,50 m²,14.2 m,3.5 m,100 triệu/m²,2020_08_04
6777.0,37 m²,10 m,4 m,"77,03 triệu/m²",2020_08_04
6779.0,50 m²,5.6 m,9 m,68 triệu/m²,2020_08_04
6780.0,77 m²,9 m,4 m,"31,17 triệu/m²",2020_08_04
6797.0,25 m²,7 m,3 m,92 triệu/m²,2020_08_04
6806.0,34 m²,11 m,3 m,"92,65 triệu/m²",2020_08_04
6814.0,25 m²,8 m,3.2 m,76 triệu/m²,2020_08_04
6816.0,30 m²,10 m,3.2 m,75 triệu/m²,2020_08_04
6817.0,18 m²,6 m,3 m,"91,67 triệu/m²",2020_08_04
6828.0,33 m²,8 m,4 m,"87,88 triệu/m²",2020_08_04
6830.0,30 m²,8 m,4 m,"123,33 triệu/m²",2020_08_04
6833.0,38 m²,11 m,3.3 m,"53,95 triệu/m²",2020_08_04
6839.0,30 m²,10 m,3 m,"81,67 triệu/m²",2020_08_04
6843.0,50 m²,7.5 m,6.2 m,106 triệu/m²,2020_08_04
6847.0,34 m²,10 m,3.4 m,"45,88 triệu/m²",2020_08_04
6852.0,45 m²,11 m,4 m,140 triệu/m²,2020_08_04
6864.0,35 m²,7 m,4.5 m,"94,29 triệu/m²",2020_08_04
6868.0,15 m²,5 m,3 m,"333,33 triệu/m²",2020_08_04
6869.0,59 m²,19000 m,3400 m,"81,36 triệu/m²",2020_08_04
6885.0,44 m²,11 m,4 m,"81,82 triệu/m²",2020_08_04
6887.0,41 m²,10 m,4.1 m,"80,49 triệu/m²",2020_08_04
6889.0,47 m²,8 m,6 m,"55,32 triệu/m²",2020_08_04
6894.0,30 m²,8 m,4 m,"93,33 triệu/m²",2020_08_04
6896.0,30 m²,10 m,3.2 m,"116,67 triệu/m²",2020_08_04
6897.0,56.6 m²,12.2 m,4.6 m,"142,86 triệu/m²",2020_08_04
6908.0,30 m²,10 m,3 m,"61,67 triệu/m²",2020_08_04
6909.0,65 m²,16 m,4 m,"111,54 triệu/m²",2020_08_04
6912.0,68 m²,14 m,5 m,"110,29 triệu/m²",2020_08_04
6944.0,98 m²,144 m,68 m,"77,55 triệu/m²",2020_08_04
6945.0,30 m²,6 m,5 m,"126,67 triệu/m²",2020_08_04
6952.0,30 m²,8 m,4 m,95 triệu/m²,2020_08_04
6958.0,42 m²,10 m,4.2 m,"61,9 triệu/m²",2020_08_04
6959.0,48 m²,12 m,4 m,"520,83 triệu/m²",2020_08_04
6962.0,42 m²,10.5 m,4 m,"78,57 triệu/m²",2020_08_04
6967.0,59 m²,10 m,6.3 m,"110,17 triệu/m²",2020_08_04
6976.0,34 m²,10 m,3.5 m,"73,53 triệu/m²",2020_08_04
6979.0,40 m²,8 m,5 m,55 triệu/m²,2020_08_04
6980.0,34 m²,9 m,4 m,"88,24 triệu/m²",2020_08_04
6982.0,42 m²,5 m,4 m,"64,29 triệu/m²",2020_08_04
6987.0,43 m²,8 m,6 m,"166,28 triệu/m²",2020_08_04
6994.0,60 m²,10 m,6 m,150 triệu/m²,2020_08_04
6995.0,40 m²,10 m,4 m,47 triệu/m²,2020_08_04
6996.0,43 m²,8 m,6 m,"165,58 triệu/m²",2020_08_04
7002.0,45 m²,5 m,10 m,240 triệu/m²,2020_08_04
7004.0,33 m²,8 m,4 m,"80,3 triệu/m²",2020_08_04
7005.0,32 m²,8 m,4 m,"82,81 triệu/m²",2020_08_04
7008.0,30 m²,6 m,5.9 m,90 triệu/m²,2020_08_04
7009.0,30 m²,9 m,3.8 m,105 triệu/m²,2020_08_04
7018.0,58 m²,10 m,6 m,"29,66 triệu/m²",2020_08_04
7020.0,24 m²,6 m,4 m,"1,6 triệu/m²",2020_08_04
7021.0,80 m²,16 m,5 m,"71,25 triệu/m²",2020_08_04
7023.0,31 m²,10 m,3.2 m,"48,39 triệu/m²",2020_08_04
7032.0,30 m²,9 m,3.6 m,100 triệu/m²,2020_08_04
7035.0,60 m²,15 m,4 m,"36,67 triệu/m²",2020_08_04
7047.0,55 m²,10 m,5.5 m,"221,64 triệu/m²",2020_08_04
7056.0,43 m²,9 m,4.7 m,"87,21 triệu/m²",2020_08_04
7062.0,30 m²,9 m,3.6 m,80 triệu/m²,2020_08_04
7067.0,72 m²,14.4 m,5.16 m,"86,11 triệu/m²",2020_08_04
7069.0,40 m²,9 m,4.5 m,85 triệu/m²,2020_08_04
7070.0,32.6 m²,10 m,3.3 m,"45,31 triệu/m²",2020_08_04
7074.0,30 m²,8 m,4 m,"98,33 triệu/m²",2020_08_04
7075.0,35 m²,9.5 m,3.3 m,"47,14 triệu/m²",2020_08_04
7084.0,32 m²,10 m,3.2 m,50 triệu/m²,2020_08_04
7085.0,39 m²,7 m,5 m,"51,28 triệu/m²",2020_08_04
7091.0,33 m²,9 m,3.5 m,"83,33 triệu/m²",2020_08_04
7105.0,40 m²,8 m,5 m,"122,5 triệu/m²",2020_08_04
7106.0,35 m²,10 m,3.5 m,"82,86 triệu/m²",2020_08_04
7121.0,48 m²,13.8 m,3.5 m,"239,58 triệu/m²",2020_08_04
7124.0,43 m²,8.5 m,5 m,"132,56 triệu/m²",2020_08_04
7127.0,67 m²,12 m,5 m,"22,39 triệu/m²",2020_08_04
7131.0,24 m²,4 m,6 m,"104,17 triệu/m²",2020_08_04
7133.0,40 m²,11 m,3.7 m,"111,25 triệu/m²",2020_08_04
7138.0,35 m²,10 m,3.5 m,"81,43 triệu/m²",2020_08_04
7142.0,132 m²,22 m,6 m,"53,79 triệu/m²",2020_08_04
7144.0,41 m²,110 m,4 m,"69,51 triệu/m²",2020_08_04
7146.0,50 m²,12 m,3.7 m,90 triệu/m²,2020_08_04
7152.0,38 m²,9.5 m,4 m,"19,47 triệu/m²",2020_08_04
7170.0,48 m²,12 m,4 m,"62,5 triệu/m²",2020_08_04
7172.0,40 m²,10 m,4 m,"79,75 triệu/m²",2020_08_04
7185.0,31 m²,10 m,3.06 m,"138,71 triệu/m²",2020_08_04
7201.0,63 m²,21 m,3 m,"66,67 triệu/m²",2020_08_04
7206.0,37 m²,11 m,3.4 m,"71,62 triệu/m²",2020_08_04
7212.0,32 m²,8 m,4 m,"89,06 triệu/m²",2020_08_04
7218.0,31 m²,11 m,3 m,"109,03 triệu/m²",2020_08_04
7224.0,36 m²,9 m,4 m,100 triệu/m²,2020_08_04
7227.0,40 m²,8 m,5 m,"62,45 triệu/m²",2020_08_04
7229.0,40 m²,11.5 m,3.5 m,"87,5 triệu/m²",2020_08_04
7234.0,58 m²,14.5 m,4 m,"56,03 triệu/m²",2020_08_04
7237.0,35 m²,9 m,4 m,"104,29 triệu/m²",2020_08_04
7238.0,85 m²,17 m,5 m,"111,76 triệu/m²",2020_08_04
7240.0,32 m²,14 m,4 m,"140,63 triệu/m²",2020_08_04
7243.0,50 m²,8 m,4 m,85 triệu/m²,2020_08_04
7244.0,54 m²,9 m,6 m,"103,7 triệu/m²",2020_08_04
7246.0,43 m²,10 m,4.2 m,"165,14 triệu/m²",2020_08_04
7247.0,34 m²,15 m,4 m,"114,71 triệu/m²",2020_08_04
7252.0,85 m²,17 m,5 m,"198,82 triệu/m²",2020_08_04
7255.0,35 m²,10 m,3.5 m,"42,86 triệu/m²",2020_08_04
7256.0,140 m²,17.5 m,8 m,"164,29 triệu/m²",2020_08_04
7259.0,30 m²,8 m,4 m,"59,33 triệu/m²",2020_08_04
7265.0,30 m²,6 m,5 m,55 triệu/m²,2020_08_04
7268.0,40 m²,10 m,4 m,"113,75 triệu/m²",2020_08_04
7275.0,35 m²,12 m,3 m,"37,14 triệu/m²",2020_08_04
7297.0,25 m²,8 m,3.15 m,132 triệu/m²,2020_08_04
7299.0,62 m²,10 m,6 m,"40,32 triệu/m²",2020_08_04
7303.0,35 m²,7 m,5 m,"81,43 triệu/m²",2020_08_04
7304.0,32 m²,4 m,8 m,"52,81 triệu/m²",2020_08_04
7307.0,36 m²,6 m,6 m,"49,17 triệu/m²",2020_08_04
7308.0,42 m²,10.8 m,4 m,"61,9 triệu/m²",2020_08_04
7309.0,42 m²,10.2 m,4 m,"67,86 triệu/m²",2020_08_04
7310.0,44 m²,6 m,7 m,"61,36 triệu/m²",2020_08_04
7315.0,50 m²,12 m,4 m,40 triệu/m²,2020_08_04
7317.0,44 m²,11 m,4 m,"81,82 triệu/m²",2020_08_04
7327.0,30 m²,10 m,3 m,"103,33 triệu/m²",2020_08_04
7328.0,30 m²,10 m,3 m,"93,17 triệu/m²",2020_08_04
7334.0,79 m²,19.7 m,4 m,"72,15 triệu/m²",2020_08_04
7347.0,50 m²,16 m,4 m,46 triệu/m²,2020_08_04
7348.0,30 m²,10 m,3 m,40 triệu/m²,2020_08_04
7350.0,110 m²,15 m,7.5 m,"445,45 triệu/m²",2020_08_04
7351.0,27 m²,6 m,5 m,"77,78 triệu/m²",2020_08_04
7353.0,50 m²,12 m,4 m,88 triệu/m²,2020_08_04
7357.0,38 m²,11 m,3.5 m,"73,68 triệu/m²",2020_08_04
7358.0,52 m²,11 m,5 m,"21,15 triệu/m²",2020_08_04
7364.0,50 m²,10 m,5.5 m,114 triệu/m²,2020_08_04
7374.0,32 m²,8 m,4 m,"43,44 triệu/m²",2020_08_04
7379.0,46 m²,12 m,4 m,100 triệu/m²,2020_08_04
7380.0,65 m²,9 m,7 m,"41,54 triệu/m²",2020_08_04
7385.0,40 m²,10 m,4 m,"83,75 triệu/m²",2020_08_04
7402.0,36 m²,9 m,4 m,"111,11 triệu/m²",2020_08_04
7410.0,65 m²,16 m,4 m,"115,38 triệu/m²",2020_08_04
7411.0,30 m²,9 m,3.8 m,"123,33 triệu/m²",2020_08_04
7414.0,55 m²,14 m,4 m,"123,27 triệu/m²",2020_08_04
7424.0,33 m²,8.7 m,3.8 m,"84,85 triệu/m²",2020_08_04
7427.0,37 m²,11 m,3.5 m,"66,22 triệu/m²",2020_08_04
7429.0,32 m²,10 m,3.2 m,"70,31 triệu/m²",2020_08_04
7432.0,55 m²,14 m,4 m,"123,27 triệu/m²",2020_08_04
7433.0,43 m²,7.2 m,6 m,"132,56 triệu/m²",2020_08_04
7439.0,53 m²,13.5 m,4 m,"83,02 triệu/m²",2020_08_04
7440.0,30 m²,6.6 m,4.6 m,"106,67 triệu/m²",2020_08_04
7443.0,30 m²,7.5 m,4 m,60 triệu/m²,2020_08_04
7448.0,100 m²,13 m,8 m,66 triệu/m²,2020_08_04
7457.0,23 m²,8 m,3 m,"79,57 triệu/m²",2020_08_04
7459.0,42 m²,12 m,3.5 m,"119,05 triệu/m²",2020_08_04
7460.0,45 m²,13 m,3.4 m,"62,22 triệu/m²",2020_08_04
7466.0,30 m²,8 m,4.1 m,"116,67 triệu/m²",2020_08_04
7471.0,32 m²,8 m,4 m,"96,88 triệu/m²",2020_08_04
7477.0,31 m²,7 m,5 m,"90,32 triệu/m²",2020_08_04
7481.0,35 m²,8.5 m,4 m,84 triệu/m²,2020_08_04
7483.0,80 m²,17.8 m,4.5 m,"117,5 triệu/m²",2020_08_04
7487.0,50 m²,13 m,4 m,92 triệu/m²,2020_08_04
7492.0,35 m²,10 m,3.5 m,"47,14 triệu/m²",2020_08_04
7495.0,38 m²,10 m,4 m,100 triệu/m²,2020_08_04
7496.0,40 m²,5 m,8 m,"72,5 triệu/m²",2020_08_04
7500.0,42 m²,10 m,4 m,"98,81 triệu/m²",2020_08_04
7505.0,30 m²,8 m,4.9 m,"101,67 triệu/m²",2020_08_04
7507.0,38 m²,10 m,37 m,"64,47 triệu/m²",2020_08_04
7511.0,34 m²,10 m,4 m,"68,24 triệu/m²",2020_08_04
7515.0,34 m²,9 m,4 m,75 triệu/m²,2020_08_04
7516.0,27 m²,6 m,5 m,"77,78 triệu/m²",2020_08_04
7517.0,53 m²,11 m,5 m,50 triệu/m²,2020_08_04
7531.0,50 m²,9 m,6 m,198 triệu/m²,2020_08_04
7546.0,34 m²,8.5 m,4 m,"76,47 triệu/m²",2020_08_04
7550.0,50 m²,15 m,3.3 m,103 triệu/m²,2020_08_04
7551.0,33 m²,9 m,3.6 m,"81,82 triệu/m²",2020_08_04
7564.0,35 m²,5 m,8 m,"135,71 triệu/m²",2020_08_04
7566.0,34 m²,9 m,4 m,"95,59 triệu/m²",2020_08_04
7580.0,33 m²,8 m,4 m,"49,39 triệu/m²",2020_08_04
7587.0,35 m²,8 m,4.5 m,"91,43 triệu/m²",2020_08_04
7588.0,30 m²,9 m,3.5 m,100 triệu/m²,2020_08_04
7591.0,38 m²,11 m,3.5 m,"59,74 triệu/m²",2020_08_04
7597.0,31.7 m²,1.09 m,3.14 m,"75,81 triệu/m²",2020_08_04
7599.0,35 m²,9 m,4 m,100 triệu/m²,2020_08_04
7600.0,63 m²,10 m,6 m,"53,33 triệu/m²",2020_08_04
7602.0,38 m²,10 m,4 m,"73,68 triệu/m²",2020_08_04
7603.0,70 m²,17.5 m,4 m,"235,71 triệu/m²",2020_08_04
7604.0,35 m²,9 m,4 m,"91,43 triệu/m²",2020_08_04
7608.0,108 m²,17 m,5 m,"82,41 triệu/m²",2020_08_04
7613.0,31 m²,7.8 m,4 m,"93,23 triệu/m²",2020_08_04
7616.0,36 m²,9 m,4 m,"72,22 triệu/m²",2020_08_04
7617.0,40 m²,10.5 m,3.8 m,85 triệu/m²,2020_08_04
7620.0,40 m²,11 m,3.7 m,"157,5 triệu/m²",2020_08_04
7626.0,35 m²,8.2 m,3.9 m,"95,71 triệu/m²",2020_08_04
7627.0,32 m²,8 m,4 m,"43,44 triệu/m²",2020_08_04
7629.0,40 m²,10 m,4 m,"62,5 triệu/m²",2020_08_04
7631.0,50 m²,13.2 m,3.8 m,34 triệu/m²,2020_08_04
7632.0,18 m²,4.5 m,4 m,"88,89 triệu/m²",2020_08_04
7635.0,32 m²,8 m,4 m,"73,44 triệu/m²",2020_08_04
7640.0,40 m²,8 m,5 m,"108,75 triệu/m²",2020_08_04
7645.0,35 m²,12 m,3.2 m,"91,43 triệu/m²",2020_08_04
7650.0,52 m²,4 m,12 m,"230,77 triệu/m²",2020_08_04
7653.0,25 m²,6 m,4.7 m,88 triệu/m²,2020_08_04
7655.0,33 m²,10 m,3.3 m,"72,73 triệu/m²",2020_08_04
7656.0,40 m²,11.5 m,4 m,145 triệu/m²,2020_08_04
7659.0,40 m²,9 m,4.5 m,80 triệu/m²,2020_08_04
7662.0,65 m²,17 m,3.7 m,"176,92 triệu/m²",2020_08_04
7663.0,35 m²,9 m,4 m,"84,29 triệu/m²",2020_08_04
7666.0,22 m²,11 m,2.1 m,"81,82 triệu/m²",2020_08_04
7667.0,50 m²,10 m,5 m,190 triệu/m²,2020_08_04
7677.0,45 m²,7 m,8 m,"311,11 triệu/m²",2020_08_04
7679.0,31 m²,5.4 m,5.8 m,"79,03 triệu/m²",2020_08_04
7689.0,58 m²,11.6 m,5 m,"80,17 triệu/m²",2020_08_04
7692.0,35 m²,9 m,4 m,"108,57 triệu/m²",2020_08_04
7705.0,93 m²,15 m,6.9 m,"56,99 triệu/m²",2020_08_04
7706.0,36 m²,9 m,4 m,"93,06 triệu/m²",2020_08_04
7707.0,52 m²,12 m,4 m,"102,88 triệu/m²",2020_08_04
7712.0,35 m²,9.5 m,3.8 m,"77,14 triệu/m²",2020_08_04
7715.0,32 m²,10 m,3.2 m,"92,19 triệu/m²",2020_08_04
7723.0,43 m²,11 m,4 m,"86,05 triệu/m²",2020_08_04
7724.0,35 m²,6 m,6 m,"117,14 triệu/m²",2020_08_04
7734.0,35 m²,9 m,4 m,"77,14 triệu/m²",2020_08_04
7743.0,30 m²,10 m,3.5 m,125 triệu/m²,2020_08_04
7744.0,36 m²,10 m,36 m,"52,78 triệu/m²",2020_08_04
7745.0,30 m²,9 m,4 m,95 triệu/m²,2020_08_04
7746.0,42 m²,7 m,6 m,"121,4 triệu/m²",2020_08_04
7749.0,56 m²,14 m,4 m,"139,29 triệu/m²",2020_08_04
7751.0,52 m²,10 m,5.2 m,"234,4 triệu/m²",2020_08_04
7759.0,35 m²,10 m,3.5 m,"72,86 triệu/m²",2020_08_04
7783.0,30 m²,5 m,6 m,"131,67 triệu/m²",2020_08_04
7787.0,52 m²,10 m,5 m,"82,69 triệu/m²",2020_08_04
7792.0,45 m²,11 m,4 m,60 triệu/m²,2020_08_04
7795.0,37 m²,10 m,3.5 m,"58,92 triệu/m²",2020_08_04
7801.0,40 m²,10 m,4 m,"62,5 triệu/m²",2020_08_04
7806.0,46 m²,13 m,4 m,"121,74 triệu/m²",2020_08_04
7808.0,34 m²,10 m,3.4 m,"49,41 triệu/m²",2020_08_04
7816.0,65 m²,16.25 m,4 m,"246,15 triệu/m²",2020_08_04
7821.0,45 m²,11 m,4 m,"67,78 triệu/m²",2020_08_04
7831.0,50 m²,12 m,4 m,390 triệu/m²,2020_08_04
7832.0,71 m²,20.3 m,3.5 m,"147,89 triệu/m²",2020_08_04
7834.0,33 m²,8 m,4 m,"99,7 triệu/m²",2020_08_04
7835.0,40 m²,8 m,5 m,"53,75 triệu/m²",2020_08_04
7836.0,60 m²,12 m,5 m,"158,33 triệu/m²",2020_08_04
7838.0,50 m²,10.5 m,4.8 m,86 triệu/m²,2020_08_04
7839.0,40 m²,11.5 m,3.5 m,120 triệu/m²,2020_08_04
7845.0,63 m²,14 m,4.5 m,"126,19 triệu/m²",2020_08_04
7848.0,35 m²,9.7 m,3.6 m,"75,71 triệu/m²",2020_08_04
7855.0,40 m²,8 m,5 m,"91,25 triệu/m²",2020_08_04
7858.0,52 m²,13 m,4 m,100 triệu/m²,2020_08_04
7859.0,47 m²,12 m,4 m,"102,13 triệu/m²",2020_08_04
7861.0,35 m²,10 m,4 m,"105,71 triệu/m²",2020_08_04
7862.0,62 m²,16 m,4 m,"128,23 triệu/m²",2020_08_04
7867.0,400 m²,42 m,9 m,"10,75 triệu/m²",2020_08_04
7868.0,34 m²,10 m,3.4 m,"38,82 triệu/m²",2020_08_04
7870.0,38 m²,9.5 m,4 m,75 triệu/m²,2020_08_04
7876.0,32 m²,8.8 m,3.6 m,"37,19 triệu/m²",2020_08_04
7880.0,35 m²,11 m,3 m,80 triệu/m²,2020_08_04
7884.0,46 m²,13 m,3.5 m,"71,74 triệu/m²",2020_08_04
7885.0,72 m²,14 m,5.5 m,225 triệu/m²,2020_08_04
7889.0,45 m²,9 m,5 m,"115,56 triệu/m²",2020_08_04
7891.0,36 m²,9 m,4 m,"72,22 triệu/m²",2020_08_04
7899.0,47 m²,12 m,3.9 m,"93,62 triệu/m²",2020_08_04
7903.0,40 m²,12 m,3.6 m,100 triệu/m²,2020_08_04
7909.0,38 m²,8 m,4.7 m,"92,11 triệu/m²",2020_08_04
7916.0,50 m²,12 m,4 m,92 triệu/m²,2020_08_04
7920.0,40 m²,12 m,3.6 m,100 triệu/m²,2020_08_04
7922.0,39 m²,10 m,4 m,"92,31 triệu/m²",2020_08_04
7927.0,33.4 m²,10 m,3.5 m,50 triệu/m²,2020_08_04
